number,text,filename
805,der erste,0805.mp3
806,der Euro,0806.mp3
807,der Fahrplan,0807.mp3
808,der Familienname,0808.mp3
809,der Februar,0809.mp3
810,der Feiertag,0810.mp3
811,der Fernseher,0811.mp3
812,der Fisch,0812.mp3
813,der Flughafen,0813.mp3
814,der Flur,0814.mp3
815,der Freitag,0815.mp3
816,der Freund,0816.mp3
817,der Frühling,0817.mp3
818,der Fuß,0818.mp3
819,der Fußball,0819.mp3
820,der Garten,0820.mp3
821,der Gast,0821.mp3
822,der Geburtstag,0822.mp3
823,der Geldautomat,0823.mp3
824,der Grad,0824.mp3
825,der Großvater,0825.mp3
826,der Grund,0826.mp3
827,der Hals,0827.mp3
828,der Herbst,0828.mp3
829,der Herd,0829.mp3
830,der Herr,0830.mp3
831,der Himmel,0831.mp3
832,der Honig,0832.mp3
833,der Hund,0833.mp3
834,der Husten,0834.mp3
835,der Hut,0835.mp3
836,der Igel,0836.mp3
837,der Infinitiv,0837.mp3
838,der Januar,0838.mp3
839,der Joghurt,0839.mp3
840,der Juli,0840.mp3
841,der Junge,0841.mp3
842,der Juni,0842.mp3
843,der Jänner,0843.mp3
844,der Kaffee,0844.mp3
845,der Kassenbon,0845.mp3
846,der Kassenzettel,0846.mp3
847,der Kassierer,0847.mp3
848,der Kasten,0848.mp3
849,der Kasus,0849.mp3
850,der Keller,0850.mp3
851,der Kellner,0851.mp3
852,der Koffer,0852.mp3
853,der Kollege,0853.mp3
854,der Kontinent,0854.mp3
855,der Kopf,0855.mp3
856,der Kreisverkehr,0856.mp3
857,der Kuli,0857.mp3
858,der Kunde,0858.mp3
859,der Kurs,0859.mp3
860,der Käse,0860.mp3
861,der König,0861.mp3
862,der Körper,0862.mp3
863,der Kühlschrank,0863.mp3
864,der Lebenslauf,0864.mp3
865,der Lehrer,0865.mp3
866,der Liebling,0866.mp3
867,der Lieblingssport,0867.mp3
868,der Lieferservice,0868.mp3
869,der Liter,0869.mp3
870,der Löwe,0870.mp3
871,der Mai,0871.mp3
872,der Mann,0872.mp3
873,der Markt,0873.mp3
